Distrito,m^2,Habitaciones,Precios
Eixample,351,3,2300000
Sarrià-Sant Gervasi,298,5,1750000
Eixample,90,2,590000
Eixample,130,2,450000
Horta-Guinardó,110,3,430000
Eixample,161,5,690000
Eixample,110,2,395000
Eixample,106,3,595000
Les Corts,62,2,450000
Ciutat Vella,152,5,665000
Horta-Guinardó,83,3,270000
Eixample,80,2,690000
Eixample,80,2,630000
Sarrià-Sant Gervasi,132,3,790000
Sant Martí,41,1,177000
Les Corts,80,2,375000
Sarrià-Sant Gervasi,170,5,950000
Les Corts,110,3,800000
Sants-Montjuïc,65,3,169000
Ciutat Vella,194,3,840000
Gràcia,79,3,329000
Sant Martí,168,3,1090000
Sant Andreu,64,2,185000
Sant Martí,130,3,695000
Sant Martí,111,3,586000
Sant Martí,83,4,239000
Eixample,120,3,790000
Eixample,181,5,995000
Eixample,94,4,420000
Sant Martí,195,3,640000
Ciutat Vella,108,2,649000
Sarrià-Sant Gervasi,169,4,775000
Sant Martí,93,4,340000
Eixample,140,4,495000
Sant Martí,102,4,345000
Ciutat Vella,174,3,950000
Sants-Montjuïc,239,4,690000
Eixample,153,3,1495000
Ciutat Vella,144,3,650000
Eixample,124,4,530000
Sarrià-Sant Gervasi,115,3,660000
Eixample,131,3,560000
Eixample,100,2,800000
Eixample,115,3,990000
Sarrià-Sant Gervasi,277,5,1900000
Gràcia,104,3,470000
Sant Martí,71,2,370000
Sants-Montjuïc,228,4,650000
Sarrià-Sant Gervasi,160,3,880000
Sarrià-Sant Gervasi,380,5,1750000
Sarrià-Sant Gervasi,585,6,2350000
Eixample,271,7,1800000
Eixample,82,2,380000
Eixample,175,3,1600000
Ciutat Vella,84,2,475000
Eixample,63,1,335000
Eixample,189,4,1175000
Sarrià-Sant Gervasi,150,3,780000
Horta-Guinardó,50,3,135000
Les Corts,130,3,530000
Eixample,223,3,1995000
Eixample,153,3,1495000
Eixample,85,3,339000
Sarrià-Sant Gervasi,160,5,850000
Eixample,120,2,575000
Les Corts,206,4,1250000
Sarrià-Sant Gervasi,232,4,1175000
Sarrià-Sant Gervasi,203,4,1095000
Eixample,59,1,480000
Eixample,167,4,695000
Les Corts,232,5,1660000
Eixample,800,4,1700000
Ciutat Vella,86,2,298000
Sarrià-Sant Gervasi,105,4,425000
Ciutat Vella,145,3,680000
Sarrià-Sant Gervasi,155,5,875000
Eixample,148,3,995000
Eixample,102,4,440000
